"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";
"C31";"10pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C32";"100pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C33";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C34";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C35";"1 pF TVS";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C36";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C37";"220pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C38";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C39";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C40";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C41";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C42";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C44";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C46";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C48";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C50";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C60";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C62";"NC";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C63";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C64";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C65";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C67";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C68";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C69";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-00809";"";"RED";
"D2";"BLUE";"LED-WHITE";"LED-1206";"White SMD LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-09955";"";"WHITE";
"D3";"BLUE";"LED-WHITE";"LED-1206";"White SMD LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-09955";"";"WHITE";
"D4";"BLUE";"LED-WHITE";"LED-1206";"White SMD LEDs";"";"";"";"";"";"";"";"";"";"";"";"DIO-09955";"";"WHITE";
"ESD1";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD2";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD3";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD4";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD5";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD6";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD7";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"ESD8";"ESD7L";"ESD7L";"SOT-723";"PolMar  Check availability";"In Stock";"";"";" 10.4V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount SOT-723 ";"";"ON Semiconductor";"";"ESD7L";"SOT-723 ON Semiconductor";"";"None";"";"https://pricing.snapeda.com/search/part/ESD7L/?ref=eda";"";
"IC1";"ADS1299IPAG";"ADS1299*PAG*";"TQFP64";"8-Channel, 24-Bit Analog-To-Digital Converter With Integrated EEG Front End.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC7";"OPA376DBV";"OPA376DBV";"SOT23-5";"Low-Noise, Low Quiescent Current, Precision Operational Amplifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC8";"OPA376DBV";"OPA376DBV";"SOT23-5";"Low-Noise, Low Quiescent Current, Precision Operational Amplifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ISO1";"AM1DM-0505SH60-NZ";"AM1DM-0505SH60-NZ";"SIP1005W50P254L1965H1265Q7";"AM1DM-0505SH60-NZ -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"533981071";"533981071";"CON_533981071";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"533981071";"";"Molex Connector Corporation";"";"";"";"";"";"";"";
"J2";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535NG-GR";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J3";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535NG-BE";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J4";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J5";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J6";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J7";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J8";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J9";"SJ1-3535N";"SJ1-3535N";"CUI_SJ1-3535N";"SJ1 Series 3.5 mm 12 V Right Angle Through Hole Isolated Stereo Audio Jack Check availability";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-353xn-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Audio Jack Connector";"";"CUI Devices";"";"SJ1-3535N";"None";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3535N/?ref=eda";"";
"J10";"533981071";"533981071";"CON_533981071";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"533981071";"";"Molex Connector Corporation";"";"";"";"";"";"";"";
"J11";"533981071";"533981071";"CON_533981071";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"533981071";"";"Molex Connector Corporation";"";"";"";"";"";"";"";
"JP20";"PWMH";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP21";"PWML";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP22";"COMMUNICATION";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP24";"ADCH";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP25";"ADCL";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP26";"POWER";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"6.8 uH";"INDUCTOR0805";"0805";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"3.3 uH";"INDUCTOR0805";"0805";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"3.3 uH";"INDUCTOR0805";"0805";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L4";"3.3 uH";"INDUCTOR0805";"0805";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"0R";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"2M";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R23";"2M";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R34";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R35";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R36";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R37";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R38";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R39";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R40";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R41";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R42";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R43";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R44";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R45";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R46";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R47";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R48";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R49";"4.99k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SJ4";"CLK_SEL";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";
"SW1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"AVDD_TEST_POINT";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"AGND_TEST_POINT";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"VREFP_TEST_POINT";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"R1SE-0505-R";"R1SE-0505-R";"R1SE-0505-R_RCP";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"R1SE-0505-R";"";"Recom Power";"";"";"";"";"";"";"";
"U2";"MAX14483AAP+";"MAX14483AAP+";"21-0056C_20_MXM";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"MAX14483AAP+";"";"Maxim Integrated Products";"";"";"";"";"";"";"";
"U3";"ADP151AUJZ-3.3";"ADP151AUJZ-3.3";"UJ_5_ADI";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"ADP151AUJZ-1.2-R7";"";"Analog Devices Inc";"";"";"";"";"";"";"";
"U4";"ADP151AUJZ-3.3";"ADP151AUJZ-3.3";"UJ_5_ADI";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"ADP151AUJZ-1.2-R7";"";"Analog Devices Inc";"";"";"";"";"";"";"";
